 BSSID;LAT;LON;SSID;Crypt;Beacon Interval;Connection Mode;Channel;RXL;Date;Time
00:02:6F:8E:64:67;32.10311;35.20886;;Open;-94;Infra;1;-92;2017/10/26;16:14:53
00:11:6B:11:02:B7;32.10244;35.20938;yosh;Open;-101;Infra;1;-91;2017/10/26;15:01:23
00:1A:DD:E3:19:64;32.10328;35.20904;afikim-wifi;Open;-100;Infra;1;-90;2017/10/26;12:31:46
00:1D:AA:81:D8:3C;32.10253;35.20928;KCG-ADSL;WPA2;-87;Infra;3;-84;2017/10/26;16:13:45
00:21:04:4C:2A:A2;32.10277;35.20897;Yan;WpaPsk;-92;Infra;6;-89;2017/10/26;16:14:15
00:25:86:CB:FD:F8;32.10309;35.20888;;Open;-64;Infra;9;-62;2017/10/26;16:14:49
00:25:86:CC:00:F8;32.10263;35.20895;AUC_54_R;Open;-95;Infra;5;-92;2017/10/26;14:42:33
00:27:19:E8:ED:58;32.10253;35.20928;AUC;Open;-78;Infra;9;-75;2017/10/26;16:13:45
06:AE:DB:38:A6:7D;32.10262;35.20948;BezeqFree;WPA2;-96;Infra;1;-93;2017/10/26;14:43:46
06:AE:DB:55:A6:95;32.10290;35.20893;Netanel1610;WpaPsk;-93;Infra;5;-91;2017/10/26;16:14:28
14:AE:DB:4F:50:75;32.10262;35.20919;GuyEmily;WpaPsk;-93;Infra;6;-91;2017/10/26;14:42:54
14:AE:DB:55:A6:95;32.10261;35.20932;Netanel;WpaPsk;-94;Infra;5;-92;2017/10/26;14:43:02
14:AE:DB:58:0D:6D;32.10264;35.20940;__ery;WPA2;-96;Infra;1;-93;2017/10/26;14:43:19
14:AE:DB:C0:84:6D;32.10252;35.20915;gilo 11;WPA2;-93;Infra;1;-90;2017/10/26;16:13:54
14:AE:DB:CB:05:F5;32.10307;35.20890;Mama;WpaPsk;-101;Infra;11;-93;2017/10/26;14:41:21
14:AE:DB:CC:1A:8D;32.10281;35.20888;gilo1;WPA2;-91;Infra;13;-89;2017/10/26;14:42:12
14:AE:DB:CF:86:F5;32.10261;35.20932;Biren2809;WpaPsk;-93;Infra;6;-91;2017/10/26;14:43:02
1C:B9:C4:08:91:58;NaN;NaN;Ariel_University;?;-5074;Infra;6;-75;2017/10/26;16:23:38
1C:B9:C4:08:91:5C;NaN;NaN;Ariel_University;?;-5082;Infra;36;-83;2017/10/26;16:23:38
1C:B9:C4:08:98:F8;NaN;NaN;Ariel_University;?;-5084;Infra;11;-85;2017/10/26;16:23:38
1C:B9:C4:12:7C:C8;32.10337;35.20908;Ariel_University;?;-70;Infra;11;-60;2017/10/26;14:41:12
1C:B9:C4:12:7C:CC;32.10337;35.20908;Ariel_University;?;-67;Infra;36;-57;2017/10/26;14:41:12
1C:B9:C4:12:90:B8;32.10290;35.20893;Ariel_University;?;-71;Infra;11;-69;2017/10/26;16:14:28
1C:B9:C4:12:90:BC;32.10290;35.20893;Ariel_University;?;-77;Infra;44;-75;2017/10/26;16:14:28
1C:B9:C4:12:AF:78;32.10265;35.20938;Ariel_University;?;-88;Infra;6;-86;2017/10/26;14:43:15
1C:B9:C4:12:AF:7C;32.10265;35.20938;Ariel_University;?;-89;Infra;48;-87;2017/10/26;14:43:15
1C:B9:C4:14:2B:88;32.10309;35.20888;Ariel_University;?;-93;Infra;1;-91;2017/10/26;16:14:49
1C:B9:C4:14:2B:D8;32.10249;35.20925;Ariel_University;?;-79;Infra;11;-76;2017/10/26;16:13:37
1C:B9:C4:14:2B:DC;32.10251;35.20924;Ariel_University;?;-87;Infra;44;-86;2017/10/26;16:13:50
1C:B9:C4:14:2C:18;32.10263;35.20912;Ariel_University;?;-60;Infra;1;-56;2017/10/26;14:42:45
1C:B9:C4:14:2C:1C;32.10263;35.20912;Ariel_University;?;-73;Infra;36;-69;2017/10/26;14:42:45
1C:B9:C4:14:2C:38;32.10259;35.20943;Ariel_University;?;-87;Infra;6;-84;2017/10/26;14:45:57
1C:B9:C4:14:2C:3C;32.10251;35.20924;Ariel_University;?;-89;Infra;44;-88;2017/10/26;16:13:50
1C:B9:C4:14:2F:68;32.10270;35.20893;Ariel_University;?;-61;Infra;6;-59;2017/10/26;14:42:24
1C:B9:C4:14:2F:6C;32.10270;35.20893;Ariel_University;?;-63;Infra;36;-61;2017/10/26;14:42:24
1C:B9:C4:14:30:38;32.10251;35.20924;Ariel_University;?;-79;Infra;1;-78;2017/10/26;16:13:50
